Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Bournemouth,Council,E06000028,The proportion of carers who reported that they had as much social contact as they would like,65 and over,28.2,,,,2019
Bournemouth,Council,E06000028,The proportion of carers who reported that they had as much social contact as they would like,Female,26.2,,,,2019
Bournemouth,Council,E06000028,The proportion of carers who reported that they had as much social contact as they would like,Male,21.0,,,,2019
Bournemouth,Council,E06000028,The proportion of carers who reported that they had as much social contact as they would like,Total,24.5,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Female,10.5,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Male,6.7,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Total,8.6,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,65 and over,8.61,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Female,68.5,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Male,73.1,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Total,70.3,,,,2019
Bournemouth,Council,E06000028,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,65 and over,70.29,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who feel safe,18-64,71.4,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who feel safe,65 and over,68.1,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who feel safe,Female,73.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who feel safe,Male,64.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who feel safe,Total,69.4,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who find it easy to find information about support,18-64,72.2,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who find it easy to find information about support,65 and over,72.5,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who find it easy to find information about support,Female,74.7,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who find it easy to find information about support,Male,69.8,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who find it easy to find information about support,Total,72.4,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who have control over their daily life,18-64,85.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who have control over their daily life,65 and over,79.8,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who have control over their daily life,Female,80.2,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who have control over their daily life,Male,84.1,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who have control over their daily life,Total,81.7,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive direct payments,18-64,47.2,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive direct payments,65 and over,16.6,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive direct payments,Total,30.5,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive self-directed support,18-64,100.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive self-directed support,65 and over,100.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who receive self-directed support,Total,100.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who reported that they had as much social contact as they would like,18-64,55.6,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who reported that they had as much social contact as they would like,65 and over,41.7,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who reported that they had as much social contact as they would like,Female,46.1,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who reported that they had as much social contact as they would like,Male,48.0,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who reported that they had as much social contact as they would like,Total,46.9,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who say that those services have made them feel safe and secure,18-64,85.5,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who say that those services have made them feel safe and secure,65 and over,82.4,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who say that those services have made them feel safe and secure,Female,85.5,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who say that those services have made them feel safe and secure,Male,80.7,,,,2019
Bournemouth,Council,E06000028,The proportion of people who use services who say that those services have made them feel safe and secure,Total,83.6,,,,2019
Bracknell Forest,Council,E06000036,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.396,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,Carer-reported quality of life score,18-64,7.4,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,Carer-reported quality of life score,65 and over,8.0,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,Carer-reported quality of life score,Female,7.3,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,Carer-reported quality of life score,Male,8.1,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,Carer-reported quality of life score,Total,7.7,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"Delayed transfers of care from hospital that are attributable to adult social care, per 100,000 population",Total,3.5,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"Delayed transfers of care from hospital that are jointly attributable to NHS and adult social care, per 100,000 population",Total,1.1,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"Delayed transfers of care from hospital, per 100,000 population",Total,9.8,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,653.7,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,10.6,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of carers with social services,18-64,37.9,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of carers with social services,65 and over,51.9,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of carers with social services,Female,38.8,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of carers with social services,Male,53.3,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of carers with social services,Total,44.2,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of people who use services with their care and support,18-64,68.4,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of people who use services with their care and support,65 and over,67.5,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of people who use services with their care and support,Female,65.8,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of people who use services with their care and support,Male,70.9,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,Overall satisfaction of people who use services with their care and support,Total,67.9,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,Social care-related quality of life score,18-64,19.2,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,Social care-related quality of life score,65 and over,19.0,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,Social care-related quality of life score,Female,18.8,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,Social care-related quality of life score,Male,19.4,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,Social care-related quality of life score,Total,19.1,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The outcome of short-term services: sequel to service,18-64,78.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The outcome of short-term services: sequel to service,65 and over,86.6,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The outcome of short-term services: sequel to service,Total,85.3,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults in contact with secondary mental health services in paid employment,Female,20.0,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults in contact with secondary mental health services in paid employment,Male,10.0,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults in contact with secondary mental health services in paid employment,Total,14.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Female,77.0,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Male,49.0,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Total,61.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability in paid employment,Female,6.6,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability in paid employment,Male,12.0,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability in paid employment,Total,10.1,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability who live in their own home or with their family,Female,90.6,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability who live in their own home or with their family,Male,90.1,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of adults with a learning disability who live in their own home or with their family,Total,90.2,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who find it easy to find information about support,18-64,44.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who find it easy to find information about support,65 and over,87.2,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who find it easy to find information about support,Female,61.5,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who find it easy to find information about support,Male,64.9,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who find it easy to find information about support,Total,63.3,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive direct payments,18-64,100.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive direct payments,Total,100.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive direct payments,65 and over,100.0,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive self-directed support,18-64,100.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive self-directed support,Total,100.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who receive self-directed support,65 and over,100.0,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,18-64,64.8,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,65 and over,76.7,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Female,67.9,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Male,73.2,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Total,69.4,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who reported that they had as much social contact as they would like,18-64,29.7,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who reported that they had as much social contact as they would like,65 and over,34.5,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who reported that they had as much social contact as they would like,Female,28.8,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who reported that they had as much social contact as they would like,Male,36.7,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of carers who reported that they had as much social contact as they would like,Total,32.5,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Female,2.9,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Male,1.3,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Total,2.1,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,65 and over,2.13,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Female,85.7,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Male,88.2,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Total,86.4,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,65 and over,86.44,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who feel safe,18-64,66.7,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who feel safe,65 and over,72.7,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who feel safe,Female,65.8,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who feel safe,Male,76.0,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who feel safe,Total,70.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who find it easy to find information about support,18-64,68.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who find it easy to find information about support,65 and over,78.6,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who find it easy to find information about support,Female,74.0,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who find it easy to find information about support,Male,73.8,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who find it easy to find information about support,Total,73.9,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who have control over their daily life,18-64,81.2,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who have control over their daily life,65 and over,79.5,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who have control over their daily life,Female,79.3,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who have control over their daily life,Male,81.7,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who have control over their daily life,Total,80.3,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive direct payments,18-64,38.3,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive direct payments,65 and over,56.8,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive direct payments,Total,46.8,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive self-directed support,18-64,100.0,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive self-directed support,65 and over,100.0,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who receive self-directed support,Total,100.0,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who reported that they had as much social contact as they would like,18-64,44.9,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who reported that they had as much social contact as they would like,65 and over,50.2,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who reported that they had as much social contact as they would like,Female,47.7,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who reported that they had as much social contact as they would like,Male,48.0,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who reported that they had as much social contact as they would like,Total,47.8,8295.79,35914,94165.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who say that those services have made them feel safe and secure,18-64,91.6,8295.79,35914,76154.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who say that those services have made them feel safe and secure,65 and over,89.4,8295.79,35914,18011.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who say that those services have made them feel safe and secure,Female,88.7,8295.79,35914,47964.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who say that those services have made them feel safe and secure,Male,92.9,8295.79,35914,46201.0,2019
Bracknell Forest,Council,E06000036,The proportion of people who use services who say that those services have made them feel safe and secure,Total,90.4,8295.79,35914,94165.0,2019
Bradford,Council,E08000032,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.395,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,Carer-reported quality of life score,18-64,7.9,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,Carer-reported quality of life score,65 and over,7.9,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,Carer-reported quality of life score,Female,7.7,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,Carer-reported quality of life score,Male,8.2,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,Carer-reported quality of life score,Total,7.9,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"Delayed transfers of care from hospital that are attributable to adult social care, per 100,000 population",Total,0.2,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"Delayed transfers of care from hospital that are jointly attributable to NHS and adult social care, per 100,000 population",Total,0.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"Delayed transfers of care from hospital, per 100,000 population",Total,2.6,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,548.7,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,7.9,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,Overall satisfaction of carers with social services,18-64,33.7,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,Overall satisfaction of carers with social services,65 and over,36.4,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,Overall satisfaction of carers with social services,Female,32.4,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,Overall satisfaction of carers with social services,Male,36.6,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,Overall satisfaction of carers with social services,Total,34.9,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,Overall satisfaction of people who use services with their care and support,18-64,66.3,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,Overall satisfaction of people who use services with their care and support,65 and over,65.9,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,Overall satisfaction of people who use services with their care and support,Female,64.4,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,Overall satisfaction of people who use services with their care and support,Male,68.2,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,Overall satisfaction of people who use services with their care and support,Total,66.1,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,Social care-related quality of life score,18-64,19.9,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,Social care-related quality of life score,65 and over,19.4,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,Social care-related quality of life score,Female,19.4,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,Social care-related quality of life score,Male,19.9,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,Social care-related quality of life score,Total,19.6,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The outcome of short-term services: sequel to service,18-64,72.7,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The outcome of short-term services: sequel to service,65 and over,69.3,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The outcome of short-term services: sequel to service,Total,69.7,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of adults in contact with secondary mental health services in paid employment,Female,9.0,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of adults in contact with secondary mental health services in paid employment,Male,6.0,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of adults in contact with secondary mental health services in paid employment,Total,8.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Female,74.0,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Male,70.0,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Total,72.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability in paid employment,Female,1.8,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability in paid employment,Male,2.3,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability in paid employment,Total,2.1,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability who live in their own home or with their family,Female,86.3,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability who live in their own home or with their family,Male,86.3,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of adults with a learning disability who live in their own home or with their family,Total,86.3,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of carers who find it easy to find information about support,18-64,61.3,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of carers who find it easy to find information about support,65 and over,61.7,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of carers who find it easy to find information about support,Female,57.3,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of carers who find it easy to find information about support,Male,66.0,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of carers who find it easy to find information about support,Total,61.3,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of carers who receive direct payments,18-64,100.0,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of carers who receive direct payments,Total,100.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of carers who receive direct payments,65 and over,100.0,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of carers who receive self-directed support,18-64,100.0,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of carers who receive self-directed support,Total,100.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of carers who receive self-directed support,65 and over,100.0,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,18-64,68.1,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,65 and over,67.6,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Female,68.6,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Male,67.3,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Total,67.9,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of carers who reported that they had as much social contact as they would like,18-64,41.0,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of carers who reported that they had as much social contact as they would like,65 and over,39.2,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of carers who reported that they had as much social contact as they would like,Female,35.9,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of carers who reported that they had as much social contact as they would like,Male,45.5,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of carers who reported that they had as much social contact as they would like,Total,40.5,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Female,2.0,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Male,1.4,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Total,1.7,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,65 and over,1.71,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Female,83.9,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Male,81.4,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Total,82.9,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,65 and over,82.87,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who feel safe,18-64,68.2,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of people who use services who feel safe,65 and over,78.9,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who feel safe,Female,74.3,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of people who use services who feel safe,Male,73.6,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of people who use services who feel safe,Total,74.0,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of people who use services who find it easy to find information about support,18-64,62.7,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of people who use services who find it easy to find information about support,65 and over,76.2,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who find it easy to find information about support,Female,68.5,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of people who use services who find it easy to find information about support,Male,71.8,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of people who use services who find it easy to find information about support,Total,70.1,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of people who use services who have control over their daily life,18-64,85.1,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of people who use services who have control over their daily life,65 and over,79.6,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who have control over their daily life,Female,80.2,23086.82,26130,203074.0,2019
Bradford,Council,E08000032,The proportion of people who use services who have control over their daily life,Male,84.5,23086.82,26130,194122.0,2019
Bradford,Council,E08000032,The proportion of people who use services who have control over their daily life,Total,82.1,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive direct payments,18-64,35.3,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive direct payments,65 and over,9.8,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive direct payments,Total,23.3,23086.82,26130,397196.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive self-directed support,18-64,85.4,23086.82,26130,316297.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive self-directed support,65 and over,90.5,23086.82,26130,80899.0,2019
Bradford,Council,E08000032,The proportion of people who use services who receive self-directed support,Total,87.8,23086.82,26130,397196.0,2019
